com.samsung.health.floors_climbed,6195017,5
start_time,custom,update_time,create_time,floor,time_offset,deviceuuid,pkg_name,end_time,datauuid
2021-10-13 03:17:58.000,,2021-10-13 03:32:41.897,2021-10-13 03:32:41.825,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-13 03:18:07.000,634bb99b-2677-4a14-9702-44d34682a8aa,
2021-10-27 08:42:28.000,,2021-10-27 08:51:47.672,2021-10-27 08:51:47.620,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-27 08:42:49.000,4d1ef3a7-7528-4d5d-a281-2bbd7a1b621d,
2021-10-19 09:30:16.000,,2021-10-19 10:19:41.548,2021-10-19 10:19:41.453,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-19 09:30:34.000,6d2e6a50-a714-446b-827d-1d92e1485aa8,
2021-10-29 00:24:35.001,,2021-10-29 00:28:15.307,2021-10-29 00:28:15.212,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-29 00:25:06.000,cc86d520-fd48-49f5-9eef-cba28f61b261,
2021-10-29 02:49:00.001,,2021-10-29 03:13:46.062,2021-10-29 03:13:45.971,2.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-29 02:49:59.001,054ce0b8-eac9-482f-97fb-b2792b4f8f09,
2021-10-31 23:06:24.000,,2021-11-01 00:01:31.856,2021-11-01 00:01:31.725,2.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-31 23:06:55.999,42f2006f-dcfc-49c2-bbac-7a2ca2dfec9d,
2021-10-20 23:14:21.000,,2021-10-21 01:43:24.496,2021-10-21 01:43:24.410,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-20 23:14:38.001,61827dc7-0756-4d98-95b0-bceb8c9deb7f,
2021-11-01 00:11:03.000,,2021-11-01 00:22:06.761,2021-11-01 00:22:06.648,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-11-01 00:11:12.000,14a0f24e-51dd-48fc-accc-8bb05ed5a3b1,
2021-10-27 01:30:13.001,,2021-10-27 01:42:38.666,2021-10-27 01:42:38.444,2.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-27 01:30:44.999,62d98a2c-49c7-44e4-aa87-9d02846d2630,
2021-10-27 09:41:34.000,,2021-10-27 09:41:55.928,2021-10-27 09:41:55.664,2.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-27 09:41:57.000,2b7f410a-fe34-4111-9075-ab94b2c9a36c,
2021-10-29 06:04:33.999,,2021-10-29 06:07:16.308,2021-10-29 06:07:16.211,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-29 06:05:08.999,83068795-82ab-450e-9595-e5baaa39bf41,
2021-11-01 00:26:25.000,,2021-11-01 00:28:06.392,2021-11-01 00:28:05.123,2.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-11-01 00:27:24.001,fc02532c-d70e-4ad4-b005-d93c74e9175f,
