com.samsung.shealth.sleep_snoring,6195017,2
duration,start_time,custom,update_time,create_time,time_offset,deviceuuid,pkg_name,end_time,datauuid
86589,2021-10-13 18:46:13.374,,2021-10-13 21:48:43.557,2021-10-13 21:48:43.557,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-13 18:47:39.963,f8844f67-c09c-4a80-93da-b0cf6758fa35,
138424,2021-10-31 19:20:22.159,,2021-10-31 21:22:34.746,2021-10-31 21:22:34.746,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-31 19:22:40.583,6acb9b28-cad5-4c40-8f3b-c69299cc545c,
119084,2021-10-04 20:37:08.965,,2021-10-04 21:54:22.020,2021-10-04 21:54:22.020,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-04 20:39:08.049,bca30795-cc75-4f18-b829-8fa46bd94bb8,
88253,2021-10-13 16:31:10.882,,2021-10-13 21:48:43.551,2021-10-13 21:48:43.551,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-13 16:32:39.135,38423e68-4039-4e17-8c31-5f9ffca9fb76,
85149,2021-10-31 20:18:52.159,,2021-10-31 21:22:34.750,2021-10-31 21:22:34.750,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-31 20:20:17.308,5ce95887-f6d1-476d-9267-83822d2886a9,
117694,2021-10-13 18:34:13.188,,2021-10-13 21:48:43.556,2021-10-13 21:48:43.556,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-13 18:36:10.882,4965ffc7-b63f-4cc9-a7cb-531b7604547d,
232337,2021-10-13 19:21:10.634,,2021-10-13 21:48:43.564,2021-10-13 21:48:43.564,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-13 19:25:02.971,4208681e-5880-4507-b8b0-df4e5e0ef54d,
82320,2021-10-13 17:03:42.354,,2021-10-13 21:48:43.553,2021-10-13 21:48:43.553,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-13 17:05:04.674,c4e87ceb-5a04-45dd-9da0-8ee63efd4750,
174912,2021-10-31 21:12:21.132,,2021-10-31 21:22:34.755,2021-10-31 21:22:34.755,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-31 21:15:16.044,4c02afe5-a8e7-43e3-b9b2-3caea9121159,
112854,2021-10-13 18:31:48.101,,2021-10-13 21:48:43.555,2021-10-13 21:48:43.555,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-13 18:33:40.955,7e3397e8-a377-46a4-ab94-2db66791878a,
624172,2021-10-13 21:17:41.589,,2021-10-13 21:48:43.570,2021-10-13 21:48:43.570,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-13 21:28:05.761,6e0bef8a-5423-4631-ac4b-1113bfbd02ba,
